"cohort","subtype","model","time_months","brier","ibs"
"Spatial validation cohort","GBM","3D-ViT",30,0.09060772953081676,0.14881761940803484
"Spatial validation cohort","GBM","3D-ViT",36,0.07098968901778242,0.14881761940803484
"Spatial validation cohort","GBM","CR-ViT",6,0.19478380112184515,0.13784248370771232
"Spatial validation cohort","GBM","CR-ViT",12,0.2045003893142548,0.13784248370771232
"Spatial validation cohort","GBM","CR-ViT",18,0.16289383839542754,0.13784248370771232
"Spatial validation cohort","GBM","CR-ViT",24,0.11327964934993949,0.13784248370771232
"Spatial validation cohort","GBM","CR-ViT",30,0.07870516761614008,0.13784248370771232
"Spatial validation cohort","GBM","CR-ViT",36,0.06488294660375443,0.13784248370771232
"GBM multi-omics subset","GBM","Clinicoradiologic",6,0.22561295343739793,0.16679930524326356
"GBM multi-omics subset","GBM","Clinicoradiologic",12,0.21235289563933749,0.16679930524326356
"GBM multi-omics subset","GBM","Clinicoradiologic",18,0.16991298325877116,0.16679930524326356
"GBM multi-omics subset","GBM","Clinicoradiologic",24,0.15825325269231064,0.16679930524326356
"GBM multi-omics subset","GBM","Clinicoradiologic",30,0.12954814891145094,0.16679930524326356
"GBM multi-omics subset","GBM","Clinicoradiologic",36,0.10224553799149715,0.16679930524326356
"GBM multi-omics subset","GBM","3D-CNN",6,0.22974196251846765,0.15868098204166614
"GBM multi-omics subset","GBM","3D-CNN",12,0.21896645791045485,0.15868098204166614
"GBM multi-omics subset","GBM","3D-CNN",18,0.1711090658852772,0.15868098204166614
"GBM multi-omics subset","GBM","3D-CNN",24,0.14076999591323205,0.15868098204166614
"GBM multi-omics subset","GBM","3D-CNN",30,0.10725548022931002,0.15868098204166614
"GBM multi-omics subset","GBM","3D-CNN",36,0.08086585802164535,0.15868098204166614
"GBM multi-omics subset","GBM","3D-ViT",6,0.20410577905768032,0.1391679376602947
"GBM multi-omics subset","GBM","3D-ViT",12,0.19733303465022167,0.1391679376602947
"GBM multi-omics subset","GBM","3D-ViT",18,0.15393681211813248,0.1391679376602947
"GBM multi-omics subset","GBM","3D-ViT",24,0.12375082405192214,0.1391679376602947
"GBM multi-omics subset","GBM","3D-ViT",30,0.08813899368169863,0.1391679376602947
"GBM multi-omics subset","GBM","3D-ViT",36,0.06125426854131686,0.1391679376602947
"GBM multi-omics subset","GBM","CR-ViT",6,0.18569244201114052,0.12205807458248982
"GBM multi-omics subset","GBM","CR-ViT",12,0.17245848156806806,0.12205807458248982
"GBM multi-omics subset","GBM","CR-ViT",18,0.13225289754062078,0.12205807458248982
"GBM multi-omics subset","GBM","CR-ViT",24,0.10710818795201926,0.12205807458248982
"GBM multi-omics subset","GBM","CR-ViT",30,0.07917346210246128,0.12205807458248982
"GBM multi-omics subset","GBM","CR-ViT",36,0.05290224548741895,0.12205807458248982
